幽冥海域九层,196,580,幽冥海域八层,$7BBDCE,0  

幽冥海域九层,274,27,幽冥葬龙渊,$7BBDCE,0  


远古沃玛Ⅰ,98,105,远古沃玛Ⅱ,$7BBDCE,0  
远古沃玛Ⅱ,11,20,远古沃玛Ⅰ,$7BBDCE,0  
远古沃玛Ⅱ,93,85,远古沃玛Ⅲ,$7BBDCE,0  

远古虫穴,158,34,远古虫穴Ⅱ,$7BBDCE,0  
远古虫穴Ⅱ,93,61,远古虫穴,$7BBDCE,0  
远古虫穴Ⅱ,21,76,远古虫穴Ⅲ,$7BBDCE,0  

远古深渊Ⅰ,19,29,,远古深渊Ⅱ,$7BBDCE,0  
远古深渊Ⅱ,30,203,,远古深渊Ⅰ,$7BBDCE,0  
